0026 ampersand.smcp       # AMPERSAND
0041 A.smcp               # LATIN CAPITAL LETTER A
0042 B.smcp               # LATIN CAPITAL LETTER B
0043 C.smcp               # LATIN CAPITAL LETTER C
0044 D.smcp               # LATIN CAPITAL LETTER D
0045 E.smcp               # LATIN CAPITAL LETTER E
0046 F.smcp               # LATIN CAPITAL LETTER F
0047 G.smcp               # LATIN CAPITAL LETTER G
0048 H.smcp               # LATIN CAPITAL LETTER H
0049 I.smcp               # LATIN CAPITAL LETTER I
004A J.smcp               # LATIN CAPITAL LETTER J
004B K.smcp               # LATIN CAPITAL LETTER K
004C L.smcp               # LATIN CAPITAL LETTER L
004D M.smcp               # LATIN CAPITAL LETTER M
004E N.smcp               # LATIN CAPITAL LETTER N
004F O.smcp               # LATIN CAPITAL LETTER O
0050 P.smcp               # LATIN CAPITAL LETTER P
0051 Q.smcp               # LATIN CAPITAL LETTER Q
0052 R.smcp               # LATIN CAPITAL LETTER R
0053 S.smcp               # LATIN CAPITAL LETTER S
0054 T.smcp               # LATIN CAPITAL LETTER T
0055 U.smcp               # LATIN CAPITAL LETTER U
0056 V.smcp               # LATIN CAPITAL LETTER V
0057 W.smcp               # LATIN CAPITAL LETTER W
0058 X.smcp               # LATIN CAPITAL LETTER X
0059 Y.smcp               # LATIN CAPITAL LETTER Y
005A Z.smcp               # LATIN CAPITAL LETTER Z
00C0 Agrave.smcp          # LATIN CAPITAL LETTER A WITH GRAVE
00C1 Aacute.smcp          # LATIN CAPITAL LETTER A WITH ACUTE
00C2 Acircumflex.smcp     # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3 Atilde.smcp          # LATIN CAPITAL LETTER A WITH TILDE
00C4 Adieresis.smcp       # LATIN CAPITAL LETTER A WITH DIAERESIS
00C5 Aring.smcp           # LATIN CAPITAL LETTER A WITH RING ABOVE
00C6 AE.smcp              # LATIN CAPITAL LETTER AE
00C7 Ccedilla.smcp        # LATIN CAPITAL LETTER C WITH CEDILLA
00C8 Egrave.smcp          # LATIN CAPITAL LETTER E WITH GRAVE
00C9 Eacute.smcp          # LATIN CAPITAL LETTER E WITH ACUTE
00CA Ecircumflex.smcp     # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB Edieresis.smcp       # LATIN CAPITAL LETTER E WITH DIAERESIS
00CC Igrave.smcp          # LATIN CAPITAL LETTER I WITH GRAVE
00CD Iacute.smcp          # LATIN CAPITAL LETTER I WITH ACUTE
00CE Icircumflex.smcp     # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF Idieresis.smcp       # LATIN CAPITAL LETTER I WITH DIAERESIS
00D0 Eth.smcp             # LATIN CAPITAL LETTER ETH
00D1 Ntilde.smcp          # LATIN CAPITAL LETTER N WITH TILDE
00D2 Ograve.smcp          # LATIN CAPITAL LETTER O WITH GRAVE
00D3 Oacute.smcp          # LATIN CAPITAL LETTER O WITH ACUTE
00D4 Ocircumflex.smcp     # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5 Otilde.smcp          # LATIN CAPITAL LETTER O WITH TILDE
00D6 Odieresis.smcp       # LATIN CAPITAL LETTER O WITH DIAERESIS
00D8 Oslash.smcp          # LATIN CAPITAL LETTER O WITH STROKE
00D9 Ugrave.smcp          # LATIN CAPITAL LETTER U WITH GRAVE
